Book Title;Year;Series Title;Imprint;URL
Data Mining (Fourth Edition);2017;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128042915
Death Penalty Cases (Third Edition);2011;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123820242
Descriptive Inorganic Chemistry (Second Edition);2010;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780120887552
Descriptive Inorganic Chemistry (Third Edition);2016;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128046975
Descriptive Physical Oceanography (Sixth Edition);2011;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780750645522
Design and Evaluation of Physical Protection Systems (Second Edition);2008;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780750683524
Design Hydrology and Sedimentology for Small Catchments;1994;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123123404
Development of the Nervous System (Third Edition);2012;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780080923208
Development of the Nervous System (Fourth Edition);2019;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128039960
The Digestive System (Second Edition);2010;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780702033674
Digital Design and Computer Architecture;2016;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128000564
Digital Design and Computer Architecture (Second Edition);2013;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123944245
Digital Signal Processing;2017;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128045473
Digital Signal Processing (Third Edition);2019;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128150719
Disaster Theory;2016;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128002278
The Dissection of Vertebrates (Second Edition);2011;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123750600
