Book Title;Year;Series Title;Imprint;URL
Organic Chemistry of Enzyme-Catalyzed Reactions (Second Revised Edition);2002;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780080513362
Organic Synthesis (Fourth Edition);2017;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128007204
Osteoarchaeology;2017;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128040218
Parallel Programming;2018;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128498903
Pathology Illustrated (Seventh Edition);2011;;Content Repository Only!;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780702033766
Pathophysiology of Kidney Disease and Hypertension;2009;;W.B. Saunders;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781416043911
Physics in Biology and Medicine (Fourth Edition);2013;Complementary Science;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123865137
Physics in Biology and Medicine (Fifth Edition);2019;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128137161
The Physics of Computing;2017;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128093818
Physics of Condensed Matter;2011;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123849540
PIC in Practice (Second Edition);2006;;Newnes;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780750668262
Plant Growth and Development: A Molecular Approach;1994;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780122624308
Plant Pathology (Fifth Edition);2005;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780120445653
Plant Systematics (Second Edition);2010;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123743800
Practical Business Statistics;2011;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123852083
Practical Business Statistics (Seventh Edition);2017;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128042502
Primate Adaptation and Evolution (Third Edition);2013;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123786326
Primer to the Immune Response (Second Edition);2014;;Academic Cell;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123852458
Principles of Financial Engineering (Second Edition);2009;Academic Press Advanced Finance;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123735744
Principles of Financial Engineering (Third Edition);2015;Academic Press Advanced Finance;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123869685
Principles of Molecular Virology (Fifth Edition);2011;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123849397
Principles of Molecular Virology (Sixth Edition);2016;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128019467
The Professional Protection Officer;2010;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781856177467
The Professional Protection Officer (Second Edition);2019;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128177488
Programming Language Pragmatics (Third Edition);2009;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123745149
Programming Massively Parallel Processors (Second Edition);2013;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124159921
Programming Massively Parallel Processors (Third Edition);2017;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128119860
Psychiatric Rehabilitation (Third Edition);2013;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123870025
Psychiatry (Second Edition);2011;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780702033964
Quantitative Human Physiology;2012;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123821638
Quantitative Human Physiology (Second Edition);2017;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128008836
The Renal System (Second Edition);2010;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780702033711
The Respiratory System (Second Edition);2010;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780702033704
Satellite Meteorology;1995;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124064300
The Science of Crime Scenes;2012;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123864642
Security and Loss Prevention (Fifth Edition);2008;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123725257
Security and Loss Prevention (Sixth Edition);2013;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123878465
Security and Loss Prevention (Seventh Edition);2019;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128117958
Signals and Systems for Bioengineers (Second Edition);2012;Biomedical Engineering;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123849823
Signals and Systems using MATLAB;2011;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123747167
Signals and Systems using MATLAB (Second Edition);2015;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123948120
Signals and Systems Using MATLAB (Third Edition);2019;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128142042
Soil in the Environment;2008;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123485366
Soil and Environmental Chemistry;2012;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124157972
Soil and Environmental Chemistry (Second Edition);2017;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128041789
Soil Microbiology, Ecology and Biochemistry (Third Edition);2007;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780125468077
Soil Microbiology, Ecology and Biochemistry (Fourth Edition);2015;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124159556
Statistical Methods (Third Edition);2010;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123749703
Stevens & Lowe's Human Histology (Fourth Edition);2015;;Mosby;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780723435020
Strategies and Solutions to Advanced Organic Reaction Mechanisms;2019;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128128237
System Dynamics for Engineering Students;2010;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780240811284
System Dynamics for Engineering Students (Second Edition);2018;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128045596
Table of Integrals, Series, and Products (Seventh Edition);2007;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123736376
Table of Integrals, Series, and Products (Eighth Edition);2014;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123849335
Textbook of Veterinary Physiological Chemistry (Third Edition);2015;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123919090
Thermodynamic Tables to Accompany Modern Engineering Thermodynamics;2011;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123850386
Trease and Evans' Pharmacognosy (Sixteenth Edition);2009;;W.B. Saunders;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780702029332
Understanding Food Systems;2017;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128044452
The UX Book;2012;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123852410
The UX Book (Second Edition);2018;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128053423
Vertebrate Endocrinology (Fifth Edition);2013;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123948151
Virology;2012;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780443073670
Viruses and Human Disease (Second Edition);2008;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123737410
